player_name,unique_id,age,overall_score,height,weight,preferred_foot,best_position,player_value,weekly_wage,crossing,finishing,heading_accuracy,short_passing,volley,dribbling,curves,free_kick_accuracy,long_pass,ball_control,acceleration,sprint_speed,agility,reaction,balance,shot_power,jumping,stamina,strength,long_shot,aggression,interception,positioning,vision,penalties,composure,marking,standing_tackle,sliding_tackle,weak_foot,skill_moves,attacking_work_rate,defensive_work_rate,pace,shooting,passing,dribble,defense,physical
Neymar Jr,190871,27,92,"5'9""",150lbs,Right,LW,$119.2M,$328K,87,87,62,87,87,96,88,89,81,95,94,89,96,92,84,80,61,81,49,85,51,36,87,90,92,94,35,30,29,5 ★,5★,High,Medium,91,85,87,95,36,58
L. Messi,158023,32,94,"5'7""",159lbs,Left,RW,$107.9M,$633K,88,95,70,92,88,97,93,94,92,96,91,84,93,95,95,86,68,75,68,94,48,40,94,94,75,96,33,37,26,4 ★,4★,Medium,Low,87,92,92,96,39,66
K. Mbappé,231747,20,89,"5'10""",161lbs,Right,ST,$105.7M,$170K,78,89,75,82,81,90,79,63,70,89,96,96,92,91,83,84,76,86,76,79,62,38,90,80,70,84,34,34,32,4 ★,5★,High,Low,96,85,78,90,39,76
V. van Dijk,203376,27,91,"6'4""",203lbs,Right,CB,$101.7M,$271K,53,52,87,79,45,70,60,70,83,77,74,79,61,89,53,81,90,75,92,64,83,90,47,65,62,90,93,93,86,3 ★,2★,Medium,Medium,77,60,70,71,91,86
K. De Bruyne,192985,28,91,"5'11""",154lbs,Right,CAM,$101.7M,$418K,94,82,55,92,82,87,85,83,91,91,77,76,78,91,76,91,63,89,74,90,76,63,88,94,82,91,68,62,53,5 ★,4★,High,High,76,86,92,87,62,78
E. Hazard,183277,28,91,"5'9""",163lbs,Right,LW,$101.7M,$531K,81,84,61,89,83,95,83,79,83,94,94,88,95,90,94,82,56,84,63,80,54,41,87,89,88,91,34,27,22,4 ★,4★,High,Medium,91,83,86,94,35,66
R. Lewandowski,188545,30,91,"6'0""",176lbs,Right,ST,$97.2M,$339K,71,92,85,82,89,85,79,85,70,88,77,76,78,92,82,88,84,78,85,84,81,39,93,78,88,86,34,42,19,4 ★,4★,High,Medium,76,89,77,85,41,82
H. Kane,202126,25,89,"6'2""",196lbs,Right,ST,$93.8M,$249K,75,94,86,81,85,80,78,68,83,84,68,69,69,91,73,90,79,87,84,86,81,35,93,81,90,91,56,36,38,4 ★,3★,High,High,69,91,79,80,47,84
S. Mané,208722,27,90,"5'9""",152lbs,Right,LW,$91M,$271K,76,90,84,85,75,91,76,64,71,89,95,93,93,93,86,84,86,88,70,78,75,35,92,85,71,84,42,42,38,4 ★,4★,High,Medium,94,85,80,90,44,76
M. Salah,209331,27,90,"5'9""",157lbs,Left,RW,$91M,$271K,79,90,59,84,79,90,83,69,75,89,94,92,91,92,91,80,69,85,75,84,63,55,91,84,81,90,38,43,41,3 ★,4★,High,Medium,93,86,81,90,45,75
J. Oblak,200389,26,91,"6'2""",192lbs,Right,GK,$87.6M,$141K,13,11,15,43,13,12,13,14,40,30,43,60,67,88,49,59,78,41,78,12,34,19,11,65,11,68,27,12,18,3 ★,1★,Medium,Medium,87,92,78,89,52,90
R. Sterling,202652,24,88,"5'7""",152lbs,Right,LW,$82.5M,$283K,78,85,46,84,67,90,77,63,69,88,96,91,94,90,94,78,57,79,65,79,59,30,92,82,69,80,47,53,47,3 ★,4★,High,Medium,93,81,79,90,45,67
A. Griezmann,194765,28,89,"5'9""",161lbs,Left,CF,$78M,$418K,83,89,84,85,87,88,86,85,82,90,82,79,90,92,83,82,90,87,63,83,73,49,90,86,86,89,59,54,49,3 ★,4★,High,High,80,86,84,89,57,72
S. Agüero,153079,31,90,"5'8""",154lbs,Right,ST,$78M,$350K,70,94,78,83,86,88,83,73,64,89,82,78,84,92,91,89,81,79,74,84,65,24,94,83,75,91,30,29,24,4 ★,4★,High,Medium,80,90,77,88,33,74
M. ter Stegen,192448,27,90,"6'2""",187lbs,Right,GK,$76.3M,$283K,18,14,11,61,14,21,18,12,63,30,38,50,37,86,43,66,79,35,78,10,43,22,11,70,25,70,25,13,10,4 ★,1★,Medium,Medium,88,85,88,90,45,88
Alisson,212831,26,90,"6'3""",201lbs,Right,GK,$72.9M,$181K,17,13,19,45,20,27,19,18,44,30,56,47,40,88,37,64,52,32,78,14,27,11,13,66,23,65,15,19,16,3 ★,1★,Medium,Medium,86,88,85,89,51,91
P. Dybala,211110,25,87,"5'10""",165lbs,Left,CAM,$72.9M,$220K,82,84,64,87,88,90,88,88,75,93,88,82,91,84,85,80,75,79,61,86,48,42,85,87,86,84,32,48,40,3 ★,4★,Medium,Medium,85,84,84,90,43,64
Bernardo Silva,218667,24,87,"5'8""",141lbs,Left,CAM,$72.3M,$237K,85,79,51,86,70,92,84,67,76,92,85,78,94,85,92,76,51,93,54,76,69,49,85,85,68,87,49,59,40,3 ★,4★,High,High,81,77,83,92,51,67
T. Kroos,182521,29,89,"6'0""",168lbs,Right,CM,$72.3M,$384K,88,75,58,92,82,81,86,84,92,88,55,48,63,87,71,87,32,75,73,86,60,77,76,89,73,88,72,71,60,5 ★,3★,Medium,Medium,51,80,90,81,70,69
J. Sancho,233049,19,86,"5'11""",168lbs,Right,CAM,$71.8M,$81K,81,81,38,88,83,92,81,48,64,91,89,85,91,86,90,69,51,78,63,63,42,39,82,87,57,83,32,41,32,4 ★,5★,High,Medium,87,74,80,91,37,62
Roberto Firmino,201942,27,88,"5'11""",168lbs,Right,CF,$71.2M,$249K,73,84,78,87,85,90,81,65,76,91,78,77,84,90,85,83,81,88,74,79,73,58,89,87,72,88,60,64,42,4 ★,5★,High,High,77,83,81,89,61,78
Casemiro,200145,27,88,"6'1""",185lbs,Right,CDM,$68.9M,$316K,58,64,80,84,63,69,63,74,84,78,58,66,62,87,66,88,87,90,90,81,91,87,72,80,66,84,84,88,87,3 ★,2★,High,High,62,73,76,72,86,90
K. Koulibaly,201024,28,88,"6'2""",196lbs,Right,CB,$67.8M,$158K,30,22,83,71,14,69,28,28,63,71,69,73,52,85,41,55,81,73,95,15,87,87,35,52,33,82,90,89,87,3 ★,2★,Medium,High,71,28,54,67,88,87
F. de Jong,228702,22,86,"5'11""",163lbs,Right,CM,$67.8M,$237K,75,64,66,90,69,88,84,64,86,89,80,80,84,88,79,68,76,90,74,62,70,82,73,86,45,90,76,76,77,3 ★,4★,Medium,High,80,64,84,87,76,77
N. Kanté,215914,28,89,"5'6""",154lbs,Right,CDM,$67.2M,$260K,68,65,54,86,56,79,49,49,81,80,79,77,82,93,92,71,77,97,73,63,90,92,72,79,54,85,90,91,85,3 ★,2★,Medium,High,78,65,77,81,87,83
Cristiano Ronaldo,20801,34,93,"6'2""",183lbs,Right,ST,$66.1M,$463K,84,94,89,83,87,89,81,76,77,92,88,91,87,96,71,95,95,85,78,93,63,29,95,82,85,95,28,32,24,4 ★,5★,High,Low,90,93,82,89,35,78
P. Pogba,195864,26,87,"6'3""",185lbs,Right,CM,$65.5M,$237K,80,75,75,86,84,87,85,82,90,90,67,79,73,81,66,90,82,84,89,82,78,64,83,88,83,87,63,67,65,4 ★,5★,High,Medium,74,81,86,85,66,85
L. Sané,222492,23,86,"6'0""",165lbs,Left,LW,$65.5M,$220K,83,81,72,80,85,88,83,82,64,85,91,96,85,79,80,87,64,72,70,78,61,34,84,82,71,80,36,32,35,3 ★,4★,High,Medium,94,81,79,86,38,68
M. Verratti,199556,26,87,"5'5""",132lbs,Right,CM,$65.5M,$164K,75,60,55,90,64,90,78,64,89,89,69,64,91,87,94,56,64,77,52,58,89,84,71,88,64,95,78,82,83,4 ★,4★,Medium,High,66,60,85,90,79,66
J. Kimmich,212622,24,87,"5'9""",161lbs,Right,CDM,$65.5M,$153K,91,66,74,87,67,83,85,61,85,85,77,68,84,87,84,76,79,94,66,71,86,80,80,84,44,85,78,80,79,4 ★,3★,Medium,Medium,72,69,86,84,79,78
T. Werner,212188,23,86,"5'11""",168lbs,Right,ST,$65M,$104K,69,88,78,78,86,84,70,58,55,85,93,91,83,87,76,85,73,83,67,78,63,37,88,64,78,80,39,20,19,4 ★,3★,High,Medium,92,85,69,84,35,71
P. Aubameyang,188567,30,88,"6'2""",176lbs,Right,ST,$64.4M,$226K,76,91,75,77,84,80,81,76,64,82,91,94,77,88,68,82,75,78,74,78,43,48,93,77,78,87,27,29,36,4 ★,4★,High,High,93,86,75,80,38,69
Bruno Fernandes,212198,24,86,"5'10""",152lbs,Right,CAM,$63.8M,$186K,87,77,58,86,86,85,86,87,87,87,79,77,80,84,79,89,72,94,67,89,70,74,83,88,90,86,72,68,55,4 ★,4★,High,High,78,83,87,85,68,75
A. Laporte,212218,25,87,"6'2""",187lbs,Left,CB,$63.8M,$215K,58,45,86,81,40,63,61,69,80,77,61,66,59,87,60,68,76,76,85,47,79,87,54,65,44,85,88,89,88,3 ★,2★,Medium,Medium,64,50,71,68,88,81
Ederson,210257,25,88,"6'2""",190lbs,Left,GK,$61.6M,$209K,20,14,14,57,18,23,15,20,59,40,64,63,60,87,48,70,66,41,78,18,38,27,20,70,17,70,29,15,8,3 ★,1★,Medium,Medium,86,82,93,88,63,86
H. Son,200104,26,87,"6'0""",172lbs,Right,LM,$61M,$186K,81,86,65,83,81,88,85,70,70,87,86,89,86,89,78,88,63,87,64,90,60,39,88,81,71,87,48,34,33,5 ★,4★,High,High,88,86,80,87,42,69
K. Benzema,165153,31,88,"6'1""",179lbs,Right,CF,$59.9M,$384K,75,86,86,85,84,86,81,73,73,90,78,74,78,88,69,83,79,79,80,78,63,39,89,86,84,88,47,24,18,4 ★,4★,Medium,Low,76,84,81,86,40,76
M. Icardi,201399,26,86,"5'11""",165lbs,Right,ST,$59.9M,$170K,47,90,88,74,85,76,58,48,54,81,76,75,75,86,76,84,94,67,73,70,56,22,92,66,82,81,45,24,20,4 ★,3★,Medium,Medium,75,84,62,78,36,69
L. Suárez,176580,32,89,"6'0""",190lbs,Right,ST,$59.9M,$396K,80,91,83,82,90,85,86,82,77,84,76,70,79,92,79,88,69,82,86,86,87,41,92,84,83,85,57,45,38,4 ★,3★,High,Medium,73,89,81,84,51,84
R. Lukaku,192505,26,86,"6'3""",207lbs,Left,ST,$59.9M,$141K,73,86,85,79,77,78,78,66,71,76,69,84,55,84,46,87,71,75,95,74,71,27,86,78,78,83,30,30,30,4 ★,3★,Medium,Medium,77,83,76,74,35,84
C. Eriksen,190460,27,87,"5'11""",168lbs,Right,CAM,$59.3M,$141K,86,77,52,90,80,78,89,85,89,91,75,71,79,87,80,84,50,92,57,89,46,56,85,90,67,88,59,57,22,5 ★,4★,High,High,73,81,89,83,53,63
C. Lenglet,220440,24,86,"6'1""",179lbs,Left,CB,$58.8M,$215K,55,39,83,78,37,57,59,31,74,76,77,74,62,84,60,58,86,75,83,46,80,87,54,66,49,82,90,86,81,4 ★,2★,Medium,High,75,45,67,65,87,81
H. Ziyech,208670,26,86,"5'11""",143lbs,Left,CAM,$58.8M,$47K,88,73,53,86,74,83,90,78,89,85,83,77,86,84,78,83,37,83,59,77,73,52,82,89,67,79,44,56,40,2 ★,5★,High,High,80,76,87,84,50,67
M. Škriniar,232363,24,86,"6'2""",176lbs,Right,CB,$58.8M,$101K,40,42,82,73,40,67,34,30,69,69,70,69,48,83,51,50,78,75,85,30,86,86,30,57,56,81,92,87,83,4 ★,2★,Medium,High,69,41,59,66,87,82
Marquinhos,207865,25,86,"6'0""",165lbs,Right,CB,$58.2M,$136K,68,33,84,82,31,64,55,32,82,79,72,76,69,85,68,61,89,80,75,35,80,86,59,68,47,86,86,87,87,3 ★,3★,Medium,High,74,41,73,70,86,78
Arthur,230658,22,85,"5'7""",161lbs,Right,CM,$57.1M,$215K,73,70,58,88,63,87,76,60,84,89,69,67,79,85,90,78,68,76,68,76,75,77,75,86,69,90,76,79,70,3 ★,4★,Medium,Medium,68,73,82,87,75,71
S. Milinković-Savić,223848,24,85,"6'3""",168lbs,Right,CM,$57.1M,$82K,64,80,86,85,74,86,78,75,85,87,66,67,65,80,59,83,85,85,88,80,73,78,79,85,56,82,75,77,72,4 ★,4★,High,Medium,67,79,80,83,77,84
C. Immobile,192387,29,87,"6'1""",187lbs,Right,ST,$57.1M,$124K,55,90,81,78,85,83,70,51,53,84,82,85,75,88,70,86,77,79,73,80,77,40,91,69,86,84,34,33,32,4 ★,3★,High,Medium,84,87,66,82,39,76
Saúl,208421,24,85,"6'0""",168lbs,Left,CM,$55.9M,$87K,69,78,83,85,76,81,72,60,83,85,69,69,73,82,69,82,80,87,77,81,74,79,82,82,55,83,77,78,77,4 ★,3★,High,High,69,78,79,81,78,79
R. Varane,201535,26,86,"6'3""",179lbs,Right,CB,$55.4M,$249K,42,46,85,78,42,55,46,52,77,77,79,86,63,84,38,52,82,76,85,53,77,86,52,59,43,84,88,86,86,3 ★,2★,Medium,High,83,49,64,63,87,81
Sergio Busquets,189511,30,88,"6'2""",168lbs,Right,CDM,$55.4M,$316K,62,67,68,89,44,81,66,68,83,88,40,43,67,86,49,61,66,83,77,54,83,87,77,85,60,93,88,85,80,3 ★,3★,Medium,Medium,42,62,80,80,84,79
Fabinho,209499,25,86,"6'2""",172lbs,Right,CDM,$55.4M,$153K,75,63,75,84,47,76,71,53,82,82,67,69,66,84,66,78,75,88,81,65,85,88,70,79,91,84,84,87,85,2 ★,3★,Medium,High,68,67,79,77,85,83
