,similar_player,player,rank
0,E. Hazard,Neymar Jr,1
1,R. Mahrez,Neymar Jr,2
2,L. Messi,Neymar Jr,3
3,P. Dybala,Neymar Jr,4
4,M. Valbuena,Neymar Jr,5
5,D. Mertens,Neymar Jr,6
6,L. Insigne,Neymar Jr,7
7,A. Gómez,Neymar Jr,8
8,O. Dembélé,Neymar Jr,9
9,F. Contedo,Neymar Jr,10
0,Neymar Jr,L. Messi,1
1,E. Hazard,L. Messi,2
2,P. Dybala,L. Messi,3
3,R. Mahrez,L. Messi,4
4,W. Ben Yedder,L. Messi,5
5,C. Vela,L. Messi,6
6,D. Payet,L. Messi,7
7,Iago Aspas,L. Messi,8
8,Marco Asensio,L. Messi,9
9,J. Sildero,L. Messi,10
0,S. Mané,K. Mbappé,1
1,A. Martial,K. Mbappé,2
2,C. Bakambu,K. Mbappé,3
3,João Félix,K. Mbappé,4
4,Munir,K. Mbappé,5
5,M. Salah,K. Mbappé,6
6,M. Rashford,K. Mbappé,7
7,H. Lozano,K. Mbappé,8
8,J. Bamba,K. Mbappé,9
9,A. Carrillo,K. Mbappé,10
0,M. de Ligt,V. van Dijk,1
1,T. Alderweireld,V. van Dijk,2
2,L. Bonucci,V. van Dijk,3
3,A. Laporte,V. van Dijk,4
4,J. Guilavogui,V. van Dijk,5
5,V. Lindelöf,V. van Dijk,6
6,S. Umtiti,V. van Dijk,7
7,J. Vertonghen,V. van Dijk,8
8,J. Tarkowski,V. van Dijk,9
9,Thiago Silva,V. van Dijk,10
0,Bruno Fernandes,K. De Bruyne,1
1,Pizzi,K. De Bruyne,2
2,N. Lodeiro,K. De Bruyne,3
3,G. Lo Celso,K. De Bruyne,4
4,Canales,K. De Bruyne,5
5,M. Götze,K. De Bruyne,6
6,M. Sabitzer,K. De Bruyne,7
7,Ibai Gómez,K. De Bruyne,8
8,Pozuelo,K. De Bruyne,9
9,Oscar,K. De Bruyne,10
0,Neymar Jr,E. Hazard,1
1,R. Mahrez,E. Hazard,2
2,L. Messi,E. Hazard,3
3,F. Contedo,E. Hazard,4
4,Claudio Coíntra,E. Hazard,5
5,Ronaldo Cabrais,E. Hazard,6
6,C. Vela,E. Hazard,7
7,S. Ardero,E. Hazard,8
8,Laure Santeiro,E. Hazard,9
9,Éder,E. Hazard,10
0,K. Mbappé,S. Mané,1
1,Gabriel Jesus,S. Mané,2
2,Wu Lei,S. Mané,3
3,Q. Promes,S. Mané,4
4,João Félix,S. Mané,5
5,Rodrigo,S. Mané,6
6,M. Rashford,S. Mané,7
